delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,high_gamma
2007.2004463537287,829.3503634522701,401.8819248046201,235.33971684403366,110.39964962735674,90.87565932189325,21.692372569057515,1.8718123887965497
1060.8000578054007,838.3364551513913,129.10882205371524,638.775539858286,142.5190431817318,65.6942376939991,24.145628475327204,1.1383256365661552
4344.606992723583,1046.1447066121516,508.6937475104146,268.3760066061323,186.7291585720855,78.4630128696961,22.41940868780612,0.8805449998599488
2921.129274697913,1820.6776105329427,253.25244132047354,231.5089166445893,158.99282177366945,81.3077959907621,18.401755685573487,2.6023154878468966
4355.3252346401305,825.2734695485274,156.71461050838374,411.9878017354824,176.11475690701442,111.9049023701554,20.51294886144078,1.4513603448247565
4047.519100604488,871.6366885701517,300.8773345129687,902.2540063327735,134.12248315692923,110.74604744013895,17.68329247916812,0.7247974929557841
2032.7369500293396,1043.965562992888,401.3006412672207,226.5193438895504,86.28848912404,72.30069935456989,20.344517930666896,1.1250524050360564
3202.7365828274187,1194.1007352638715,199.5630562728336,365.7129311990346,103.09759940386013,111.26532507070954,23.07392988954501,0.7088861763604233
6350.605453367703,560.4021301717697,459.71525939029016,361.4738052602641,163.5317284598654,93.90348247023199,37.34157162448773,3.439354700267708
7755.118068653432,1472.1156115873282,195.6899488652398,272.0910870443199,201.93633543691416,86.98671772220179,20.57069392456262,3.226816312496775
2761.078188454838,766.2891048847769,316.14090676131775,389.78497790761423,183.33371580478823,126.7278237656853,26.40564388156208,0.8835513986038845
1630.2827686766134,690.3240322722888,222.55979146450898,233.86236200417514,174.63167239836523,107.52094014619074,22.32292287069456,1.2532968286775064
2559.1570270219718,989.2377187250983,122.17097141188752,361.7716861490958,126.14814109887129,119.2991172222706,28.75842626025729,1.1803295654015162
5196.702464260597,1255.5615161905334,268.27507238726935,397.12448409965634,105.26528728351373,91.23337659556408,18.952182962065493,1.1344047179503263
4309.249851010727,1480.0249685325748,1301.3985699053137,290.5532435125614,115.30495089753288,106.78770930209403,33.740900037883854,1.6979473067383135
2351.439301013359,1805.4550352314875,329.5953353072559,601.3139660362529,168.10370895087235,91.88565345083,29.543712399544468,1.2626751582166182
2126.5181255539587,861.1305372219749,191.41406623744808,316.1774386171193,118.83876810380274,68.84852142856026,15.439423234078115,0.5657488302660744
3787.0718174453054,921.2102508736299,660.4205692363926,260.62014122579507,264.6953459789591,62.337821732839146,19.901162041148034,0.8206712100099027
2893.463802740757,958.1075820982176,2990.069992522833,759.4333405440073,277.69487600892325,143.906610101381,23.754270321731468,1.080048121565821
5024.557366294987,481.14716731229026,4268.354393894551,266.13543290933654,483.3356727444093,76.17676416807097,19.968022852108685,1.100604206207412
5628.793126577514,2966.0332930093923,2010.4733737485176,475.94662457345925,229.13820338613618,107.39985553175619,27.7204643102687,2.020591570619663
3919.17319578892,1232.288408523249,627.4294224226948,236.2583686777037,155.2031216739923,88.23689289429501,24.676146101728687,0.7850100421173982
2674.2529023507145,924.8960169705441,1066.0969732016574,403.1778106292724,173.35250838764298,56.89101074097761,19.805624037495484,0.44171791430839313
2039.2619687359866,1577.7532884073494,5418.981139960067,367.7953076828711,214.97969119555927,69.19904608593663,19.152886516813854,0.5490447240299613
9428.108734378347,2727.92123966484,200.60214499159494,369.28451514699236,202.1469383120828,133.03527718241764,27.591144394179775,3.0442169884201156
2382.9115923236022,1107.4535934926505,130.47851962823515,484.7990606583554,295.14580823303476,118.98981104779186,28.17854578276448,2.56734762286397
7729.651957444631,816.2528160624706,959.8195618652627,1001.6477495971292,162.77772858188197,124.61524929660366,30.564455431206223,0.9857155974350836
3872.1054235125575,1842.78716537281,643.6845078220441,453.4817788921997,186.54933350259617,75.69366728442601,19.94845697019228,0.7629796617565314
2433.6884314321424,2159.898527140091,8099.686574441595,498.6977603321036,410.2778601781572,94.24816387565173,23.970589343192945,0.9333283488794119
3258.1517187018067,2070.809851324031,4365.505118721943,265.88401681570514,247.54331977031387,127.66065941814479,27.768830710318987,1.170790667272389
