delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,high_gamma
3469.7626114812424,360.10850952270647,286.86369365167815,1004.2346956124799,782.4050289819742,236.7912334558721,59.91471875020555,1.3994498183088082
2586.2555266086265,515.1969751924884,1138.6485965178902,1294.8460840993166,505.1986836585687,180.91914866197195,48.641046891308704,1.1753682490011084
2231.230329656067,539.2493490618535,740.1525266421171,1275.017948893991,568.9921713061818,158.71601892124113,56.188078482242695,1.7471669589909222
2110.098842589318,748.2305585212674,3341.5152727217815,1108.7634374808292,456.2309668333459,206.91979096328828,58.11296388869177,1.5164956573528878
2867.0411582134097,647.2841631871541,692.5328393333837,762.3686320052253,672.2363594006496,121.22812680543764,64.55777055371789,1.2573638834796792
2269.338681025081,545.7831981229724,781.3921811814855,1042.273894784205,726.6078206598587,148.27946909873745,47.987770880777504,1.4013155818287455
2176.363772137292,672.9223191659199,3903.690689084186,1442.776303622242,833.9931607422386,159.31199393342655,56.146837727836605,1.3932359790510007
1294.7643580323484,689.1068555378415,783.0893247784967,498.76715920302405,572.2629392032463,168.47939534236355,56.319056908701285,1.5693065290110948
2777.1538552350553,468.8431701891995,1282.0031820811214,829.2027233570878,596.2847490842059,241.8074075299488,61.18372304982569,1.706220556418178
3457.998377661364,296.3135008106269,731.674431242256,1360.2178327377696,643.8998711680699,248.3126306553157,67.65611623349882,2.3326075003122293
4619.163364517983,585.7595020244667,1031.596813680721,1649.9289241660458,827.8277813581009,188.33187269985774,86.0049928120436,1.5859531502778204
1985.9754261763212,358.25099948308315,414.2125786510637,1369.1693220438856,343.8375888738636,207.46335542655805,70.91817463721364,1.892319995201609
7629.075569922888,610.3481403563442,1258.2434244113708,684.6415731310948,522.6053500963103,161.47376202472103,71.90521872012265,1.630442045761885
2606.353358793095,343.62791093044865,342.3634528146144,408.3341605312308,344.42805969075886,159.6257686924797,63.936544321403694,1.4087955105854468
3835.5564407088677,436.2497000074235,638.1362345942688,1186.3722852188637,498.41366831453763,202.00707965455035,70.74738713858923,1.5420313597119546
5830.2377223907315,493.94808612834385,619.3911528140796,643.3149597760546,648.017976162472,184.11161347629252,72.04296398534889,1.4927844695547188
3010.661365750337,626.9842890844196,1323.854748062335,666.7702472056152,423.644129316093,227.53188011155228,63.39658544746341,1.7528801705156978
2545.856403471352,490.8958713798634,256.25421842913136,744.4306894307741,446.82169566483,149.2909527412858,74.25463031263868,1.35783039698175
2932.685549057773,335.946400090538,918.8428995988822,902.9880828258463,821.576754598614,207.4382604839669,63.31860199929359,2.171642203918477
2385.0174473925786,545.226895781798,895.0295463938979,1342.0901086196036,621.0266867530478,164.1744258747023,66.17377915165248,1.8229451999813784
1814.6297499377913,468.17860497190935,1663.2518980222671,962.3998725817896,689.0091508901584,190.99820293180102,69.16977816192605,1.3340840385941029
2746.85444951579,765.6593160271444,2137.0032379337244,1356.156013333369,459.8310652457515,202.31078959432833,54.99588508744912,1.468281632791853
5726.568268116965,379.29938048734664,1263.6246170590794,1150.7526931156922,422.85558236572984,199.13896669405506,57.56126913459072,1.3408593356853813
2367.880105028939,1173.4043355389258,591.0962700759441,1071.1695788867537,806.6857115810741,200.46253821355504,58.773852803318185,1.2353952394450451
3297.3341663936394,666.024471786619,605.5203170659842,1440.0339219539924,517.3858061099793,146.2675540886722,54.28834886580926,1.2837513518857866
2415.582162997127,1047.9581657570575,2151.857078825593,2577.365328264848,603.3666380662695,178.71104219054595,53.77279416417076,1.4230530881366648
3532.274651264717,973.0426147719722,470.371941695771,1701.2699015786045,333.3111632612873,186.73053022733296,63.07823541441486,1.9324691693915028
3969.0350947152274,662.30616035374,530.6761938081955,1454.9329885607276,464.6936995199804,186.42390280777354,78.02945129550233,2.317985468198765
2976.37180432941,533.7319851540922,655.5910894794179,837.5828813286241,599.8682232344697,179.48564853866043,48.04106086191636,2.6663429835487653
3629.9860820378635,793.3673096982338,548.2242183386414,2537.0431893498644,588.3395406220966,162.5189426875714,54.1972584905875,1.914273291771115
2541.518210292673,473.99484839493545,649.6280497002272,1602.537962432281,645.2222700760744,181.56271536048715,51.104294056343825,1.378051798919693
2858.8818734095767,649.2381564110676,885.6414311103208,1194.6523996291828,585.0312977359278,228.94594424089854,43.54379908994908,1.5961889083464325
3142.795839830857,309.9143837905823,1232.2970426735628,1071.5541910172317,610.7427428008269,214.43582006000693,50.14642799235482,1.2650774824991646
3280.27061968413,1024.3137200609958,2383.7266247220937,882.8681956175293,531.6684438581743,206.78812894343898,47.81058971186976,2.1593766737745583
4815.84995890158,539.1664072076405,635.887840242524,1035.0640116365666,358.3578331991686,142.5420510975243,53.04606109323402,2.5865057381355707
2640.729958739967,723.2757313572758,2348.765391895805,2794.71059111917,455.71422814823126,163.53214334624496,46.013353179841324,2.5523711217461402
3330.0928872530844,431.09861145789745,2351.5516457261815,1257.6498884272396,580.8877438302387,151.9194845903026,54.32961285016603,1.6530878896361891
3413.53002226368,463.39147602675007,441.8272264017067,699.2440885580238,585.8670090400577,144.75347535273082,48.75387444942023,1.6443645300150713
3241.1033868748655,396.82329080048845,2088.0910412663197,2134.6745223313783,510.59764378180665,156.42994598625614,41.659126541130156,1.9531335586160126
3079.4392821241913,1080.9101332602604,941.7547359353509,985.7457674050171,902.9271029526975,154.3048059203792,59.964480671276625,1.9699826394418463
2694.061818612759,750.4039628391423,1306.0018397728875,1455.3284150230752,511.77753913856014,156.01045286147482,44.57897519807824,1.031969144685664
3824.3055092536806,745.9762321469893,4122.996245817814,966.0489210854553,599.6298965870255,177.6937101939178,42.92181491493228,1.77116459469353
5912.082931357757,1038.7699989794535,873.0010140900323,1325.9228622348387,796.6222344491455,152.11053109619172,58.612140179461164,2.528671496011267
4030.3492590982014,660.1918212269111,1993.9507565636723,1919.668071329717,765.7390656919274,168.24692658126526,54.47309857190934,1.8071016073911503
2924.2767072371485,598.4968350696336,3648.6431114298407,2464.0052087072,542.7988139311789,111.8780279078738,51.48784605282452,2.0016660581497216
2146.1585912183814,670.3997323957706,1459.480406371203,1768.3155421785896,494.1925856109297,201.2916388773313,49.01693583531485,1.1538548776476605
3554.8821041644405,1096.770530438964,1539.858444483111,940.4018060307865,524.3661610651134,160.42281751470702,53.25765828638883,1.5463666477369926
2048.24170512376,533.7129542643174,1910.0792188264447,996.6460049507774,487.4031512512882,150.04151243089785,52.211358567684094,1.3360025288545718
4367.9447153121655,500.41336600736423,880.9426545806623,1062.8802327681442,495.80388389502093,180.72012043402805,47.61147018971646,1.133854588412094
3014.4098986572744,1360.7857591113843,7574.950161853297,2781.9055482707477,992.1367845791929,227.29662365253694,44.59841157334656,0.9974406875503122
3358.020149880749,812.8823594614242,3923.8536403389576,1606.982139339907,651.996356470721,144.20415236232924,44.465752309525406,1.4324744928064763
2210.1622917043273,693.3726403741183,776.3178829819728,1246.2159040341987,601.4028265209101,137.68467846795974,45.17853965373978,1.1764859625283872
1946.883049369672,301.89308275675876,391.4652899798198,796.9568839747484,548.4514732259937,174.35495640059617,48.51767594659011,1.4159697332736207
7022.733270854595,619.0157862695808,738.0960866102495,1101.805503100157,634.9804231300026,204.16918271230676,39.733188703610246,1.4926228719728454
4145.8645560775585,981.5372580307726,761.806822185206,1220.358248465459,667.4345069390922,199.726828142959,50.633760247691235,3.069058461841591
3722.8241727676973,453.5518174079925,1912.3021896975715,2698.8464894664417,360.83077238061935,118.45179614483224,42.24699764885029,1.56068983993149
