delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,high_gamma
3776.841891541793,404.2064485578141,697.3195635706053,2017.904082932084,137.80864508647812,91.90825118447408,12.62423160052773,0.08203164081290963
2586.256999600158,477.4683293344334,957.2807603682226,789.7436829382815,138.214656390838,79.31965385988735,10.114132119507174,0.5515824437294988
3105.87563717989,437.87143094615567,347.55505042665544,1754.8546096253497,98.51770855109199,71.79322886689111,11.881416944080343,0.13005297578234631
4143.317709132617,389.2816646598696,1121.266519302051,2345.712363707349,178.32187962160023,90.28693176006534,11.60512523815691,0.22219286076265587
4159.841435130618,372.3121502571965,274.2681120231046,582.5478298802285,112.05288817465309,68.49080655999572,12.084151759407854,0.11704395181955513
1399.2998536031885,554.2478152612057,454.1188050496958,1156.678873561294,110.56571950396018,74.30086117668914,10.956767670065545,0.14265598510085412
2624.258367063922,703.3171146631801,319.13690252371345,524.5282366198309,85.17227425650563,55.72525802699993,14.225860085962651,0.22333984533383688
2388.1193552457366,546.0203749928376,332.99499725703936,417.39684018017545,148.19012358012023,64.5573909276859,11.944376926238624,0.43558122602957833
2339.8398822465765,435.9612670030733,1755.3993487064552,1875.1138518553203,141.5182470576963,92.08241825528835,12.272516877654821,0.48502496568941755
1870.8875487574378,677.7861344097679,1118.152289519556,7311.074864294743,189.157772747761,102.01338158747932,14.458583455772542,0.11996901712590562
3795.179308627777,502.8013072619762,323.66894553873715,2143.4686278280137,109.71825974398034,82.25607322498688,8.836073015315582,0.28272590191157104
2792.222777652686,446.39071084792226,343.03471982550377,2111.9917590458986,128.35134582357816,85.50341646109146,10.629634436408015,0.35272685266739423
5607.1224749762005,737.9830837768271,733.0087386356751,6007.254862695737,136.10285907875218,99.18675190907143,12.234525713781807,0.610195740270001
3487.5392469922117,442.5379353756872,690.7731098153976,2630.0368849289903,236.60211208187067,100.65278458091419,9.378734860831857,0.5433867706282974
2312.9972392987606,402.4266964854086,629.4081065547574,335.3939833409037,104.49270534587478,67.32389739668206,11.315304331503356,0.32449386322728296
3134.1147342008076,391.01828221804504,567.8953120523258,859.2928195635308,71.88503648966723,73.18250601709865,8.224979718559489,0.22351249530759762
4985.63989412406,717.4775212749447,315.1551017524834,1290.166311776623,107.47171589734506,120.98946132507787,10.081065946964674,0.8161367732430398
2333.4565097406044,491.4229584000614,473.1742626765895,265.3362773286109,68.32152324475415,67.71137303903326,9.926405464802821,0.4740530681354795
4291.454552125046,484.3175738367526,419.10162250680565,364.0371270429873,143.79057961972205,70.55822603170563,10.300763379738987,0.08098850432794243
2901.629784797035,804.456011542044,1264.3636299793718,4475.254374454219,248.4832655117369,107.39125067875686,12.302626397833967,0.49671054821040556
2186.1459706957817,478.0154099158789,483.15534826672456,6885.028288358286,436.808002027206,147.4541766972518,13.595821483168487,1.6603198783953077
2812.168180681043,612.6884020950678,299.9237979830249,2501.2095181556733,142.40874072214206,53.579164509573616,13.77942533966963,0.37997381068055847
2526.7633378313876,325.051629810134,260.7377369792545,155.49072445278816,86.38668444059128,62.63745150986051,8.281312048002171,0.11722300765294717
1896.3700495706535,370.52209016571413,634.4130848867446,1673.243566791188,168.14554672126565,72.28262335098,10.658443672918207,0.15812357321445555
1070.7451891443366,1197.2114980096112,458.53519507454774,678.1784942870453,82.6270119590988,62.99680762305173,10.917082570118543,0.17104915745704172
2672.5308776332417,398.71544418320303,320.75319823232826,629.5733913394371,73.0319274883612,95.01786068719804,11.638662249516523,0.7181824855474369
2718.693093049899,697.266890191313,558.33692837998,590.3252875415083,118.48070506179951,70.28439992451996,10.306532889610647,0.2781131938964605
