delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,high_gamma
3292.278941243468,943.5706628556663,1312.2014129913343,4025.7883542144555,525.6434582997958,206.0877282290934,17.748947748087073,0.5252195806827006
3037.277622100411,720.5241467034813,782.2179300975034,5383.945614865253,524.4514734511147,180.90256850985065,17.021884410055225,0.5721376465862666
2651.1585021701003,748.9005298236234,2355.786161136328,4585.252051466492,521.3051105807413,181.92520541823083,20.6985697017147,0.6163503524812448
1529.3754522521617,509.4401045726484,3092.420153318748,4556.036978566353,585.2304476866179,233.84332621012982,20.451775373531063,1.8455529889982347
2405.616735334981,588.4502074516115,2668.3487668116077,4355.479943689725,587.7778722065532,178.82849465689372,19.83627779760747,1.904188379312942
2405.1785730042698,693.0123250970377,1055.1460453134405,6342.903835293315,566.9181795741766,181.41962826624285,20.737104118180415,0.3162435982725631
2501.4510981052117,888.9354365043174,1179.6529247166102,3612.8644306658603,247.87953743325153,140.0841197239885,22.101428313174566,0.9148884428675778
2396.4939141383875,984.7682169369756,3271.612361776799,3750.653391486258,495.7476174231167,196.01288718245667,15.488607710756368,1.4430993042368339
3294.4098902739233,707.9173269113411,670.2521405577461,4175.575721021064,821.9504618055336,146.79690569634718,17.10195723391022,0.7570946790464451
2477.406349087848,856.6954898520954,1201.7524720536776,4645.919510350218,501.64948005784584,160.8838509913858,18.133427439574373,0.475575880884946
1653.5847987685588,626.3007100035089,4626.8139418429,5616.987397768498,543.9983054808997,191.4344766711704,17.424318987926267,0.2751509464286627
1388.2062581095777,1342.700777778505,3357.016898823817,9714.482578320134,483.72507040977354,285.91239481866825,21.37074498363761,0.7304824512827571
2285.2525612684726,1411.1883234710222,2348.9216421527467,5428.4483423397005,701.1438735134232,172.93344675740354,24.77568713546877,1.1675945291968577
2399.630456404211,523.7798359439818,2308.0253155593273,9203.65276867532,326.00117046021467,165.80361623239855,15.797894415051408,0.6353121716908092
1676.7204665572476,650.4689057103639,2054.374818944772,9055.023586633626,493.3959263044704,220.34262027233672,18.809663980304585,0.7530732737843203
2070.869079360531,756.1413991145001,4679.092447090177,5462.294562798581,555.3656649523664,198.55540111827403,28.990563501663463,1.0984981542955186
1304.4957503943908,836.9929243842597,1481.1898495647401,3297.970567824661,418.3011530625416,221.8017376710061,30.774232735884382,2.83624546468242
3133.7854104350718,1251.6113232563087,1288.1298616251697,6668.906666560789,432.7683658329858,226.93321852795256,21.845344267447985,0.7213299029195841
2852.7172590780588,500.61065803958417,2204.2579280883083,7583.581464396221,414.06447858266375,200.68912557203893,18.998143119953628,0.6507344030753884
2833.2637396505047,741.7474938994412,1989.978267747661,8745.801760387329,454.2833707388303,282.58403291914584,16.894937802876207,0.48616757789996573
1437.2018494758543,720.7927598512384,1635.6521719455598,6408.315568646122,435.55908936316547,282.6288320382942,25.986840213272245,0.7443335945133889
2093.7546679122765,1516.5103111605217,2155.432477738653,3169.7541464584847,721.7969745189348,223.8593319987735,24.10484162533615,0.406768512106969
1828.584435735164,869.1857092185534,872.3178235575422,3708.8849075215894,526.8780606188798,232.13049429328106,21.807635770619687,0.6278980822377518
2790.8211780441675,480.5242961659772,2063.6998402337454,3181.8170539960383,454.6098424786375,187.2615181142615,30.502145036625524,2.425632562968722
3946.8980760792465,1439.176030133808,1042.902967334354,3089.712815967682,557.56131798037,181.94948322497945,26.50057814132998,3.175206335106063
3223.137142229281,1681.8323286211842,1918.312712665557,6789.196568850398,462.945588721973,260.46840669418316,28.70280583987014,0.4338612120212014
5261.867069158422,655.6829173234391,2461.680940496986,7604.404872810116,449.3368039715804,308.426683056575,24.13955135909319,0.5432181551656693
2182.520443199553,808.5227916956594,1098.5568809699553,4889.964233709605,458.1596914815141,243.9383232714132,18.729226244940083,0.6960003624417344
4219.980040778097,1194.6587092494176,1379.6998479281472,3294.058321932828,711.3184874855707,184.9574241332847,21.8900753436137,0.7204030556207899
2897.6218707560124,693.6749373548267,1148.2677396038239,4439.659175394958,261.4000967120649,176.45917449066854,20.516954321712735,0.8116645054850796
2063.7607853780773,922.7833269259472,1217.9626831845262,2163.648198149486,838.63568634418,136.95537502367043,18.680417886307403,0.33194176484223814
5262.994770932648,1289.870081596981,1436.467686880593,2988.9357283903114,672.8078694662173,180.993425711452,31.656312886836997,1.952261878659576
3662.1643510303657,1310.5614166704468,1038.1513962196204,2414.0023610972457,543.0975262845553,291.87350778156775,23.318701303873535,1.2826881830373427
2812.9569168666662,922.2708881375225,3172.5058041390334,5238.166843877709,450.18358092700396,239.45089734895043,22.200271048481877,0.8045259249142175
2829.434499446988,873.0170322914813,1305.556708903788,6703.148457912837,442.7694545502786,181.66915530901971,18.11862221927592,0.6427778086847156
1728.8429853031512,671.6290363920228,712.5776033459593,3928.917572766429,375.1247454768925,185.88489632123444,15.421843056764418,0.4765441052556406
3922.5623179826157,633.0578548976449,3039.389240969509,3296.7989342087003,309.3854012785736,180.66531809946113,21.352152395719422,0.6460224168475207
2040.393313525934,568.0578263127562,859.9514561069791,3869.1925709872125,463.4234640695616,185.79499160466077,17.458482873313617,0.5471227142687543
1993.9389888448636,631.7070806355769,1661.7785575987002,5685.274694604902,493.23697064887233,191.59484445217095,18.839463414006133,0.6937920944163313
3134.0779761444296,611.1523570739141,1071.2012083777934,5727.423412670046,372.88754378125526,195.11810777627014,20.837118593067554,0.6585526091236185
2324.431789393973,537.2916747045556,1695.617510461227,3595.5231813544124,549.4623825498082,127.33803733408635,19.25995190665706,1.5827177759985436
2017.0923767604518,795.3237443456204,1689.4048123958812,6001.73414715057,822.7700424275836,212.23609755544257,17.379350723179055,0.45257422649431145
1456.4792210846615,1183.3318224026982,835.4467164467669,10697.495367894113,759.3777839379255,332.0642812063041,18.345007754680665,0.46317089338143314
3141.26295837088,1799.90033264292,1898.8970399053512,3959.9259132521747,377.7009642862429,205.8723672674474,20.669204681030852,0.4965469329600438
4815.536797594878,1384.2173905288212,2611.8848106707287,9461.449444782775,413.8609935600706,223.13483276984417,32.796531555034655,1.1684257184340436
2285.6695496825832,983.0471943458948,2517.901031239534,10344.33316029297,404.349574241537,199.20962642438923,19.88099350992604,0.4199712083182831
3407.7444233881156,695.5641599869974,1086.5168118470713,2839.946057652861,535.6416153318571,198.93045655810855,21.28509993204376,0.5882482155137956
1510.8474377859136,1513.1777199125493,3264.758411767146,5158.758697945993,682.6196646005711,252.89639022785067,24.143741939013754,0.8914673026388789
2146.980107077353,650.5411314803251,2538.087091314457,7557.848262226041,504.2548580109872,190.8847647931585,25.936084135132706,2.168050580879482
2030.7779150412064,941.86873307961,2038.3608958092161,6689.239557261295,388.2703571214353,151.5548759480451,15.93481333823204,1.260929701699666
4568.147588768996,464.6985083278102,1001.9043366193356,2290.24309282462,338.4606523216435,121.09846437672745,13.741900882461717,0.6318669801871394
3377.9390104448153,582.426042027126,2456.7586866891697,2059.794906114896,637.1401522457209,230.10604574019573,17.879590222957734,0.5705235439470355
4421.823868435552,847.8964676904275,4475.88864391787,9804.917965883073,346.0173143289901,238.01332148937237,18.51034407154595,1.5189174834210777
2047.3158447204087,1973.6129000988758,2245.4863676857276,5303.790599826107,752.8633548953859,293.27982126583976,27.950657384586837,1.5900591082079847
