delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,high_gamma
1130.1612466868157,507.23856637331636,552.2725425252484,241.2980503184941,98.51541270336577,37.58967353359528,9.561401268798969,0.1424239041455361
1726.5105074119801,511.46784437349027,612.5864161598508,281.2857549415644,202.45867207439147,38.00383681062089,7.413416438424361,0.2464589301245866
2246.963722650356,541.2410800797373,815.8688694130254,516.3003376301164,120.2893671749603,53.849794930855616,9.41649080897908,0.4605121195368683
3382.925473426365,355.19458933158546,278.435083447934,745.2043755058048,122.73415194329685,53.424296974713364,12.094309621052805,0.43978030597005824
1926.7458317665648,407.89584246686337,644.9884820819535,599.3053848695718,116.10713154995108,57.557034300469105,8.903047828068052,0.2219015357470922
2056.9375472932556,413.42533357229104,346.5098812549947,223.95097220257628,128.06485173585594,61.27454800124294,7.927863708619633,0.23548354331553983
1743.7469017382762,538.353004167982,154.2615155559895,275.56559952311574,318.2524971456885,53.25591795160001,7.449568346186442,0.33757702207651474
1512.8283718967245,743.4575202517211,742.8911290860583,573.8752367315268,126.37470034721973,42.84027829392856,8.521545566722756,0.2619726680743901
2471.8681631624186,569.3863108764644,217.27160189724538,600.6025384334685,109.61104336116782,42.86169077454188,7.6646483778850545,0.2500454939827026
1537.0132812321858,641.488252144416,347.4983419639758,557.5204258000391,177.17206258449204,47.83641433712678,9.440113780474542,0.4392377456763128
2490.2474597387063,652.4104135684596,522.1790303697239,610.5469834560113,124.17095474658034,45.12597617027969,11.735010650912644,0.1973663912316236
1681.5098058804695,963.6145597067853,812.3650318741956,598.2335767651824,147.98010402716972,56.40955666714499,10.634669884855356,0.41860453918033086
1332.6989391630461,449.77229899035075,684.8981845980474,2088.504115347123,265.35381836697496,50.463965233776555,9.39948211474004,0.38238281838426713
3642.1204643763563,716.5840382096756,512.0379535535827,1694.35393547715,210.5581547510204,68.43468356281936,10.250047171257416,0.31868300364127067
2255.7883269841577,443.1859411315819,736.813276780835,1028.0649503887728,202.18833541225823,54.2493359380996,15.302197866522327,0.35818896445172316
1832.470101487858,809.8121628605007,694.0809656791405,1527.4477765760594,238.1194961332643,67.40553770758082,9.965166474427127,0.7100653838393123
2897.02520958668,840.8593047153685,1360.1577363060853,640.8461354758815,207.31568645637293,73.92646827740819,10.627662654154879,0.20134353692634682
3974.304801593639,563.9738275367723,144.9369867317419,652.5889240809577,336.88079894053647,56.997219195339405,10.815326748218189,0.7127809615958988
3093.4387783352695,759.9264072381114,609.258791221462,285.0774779377945,209.68340522224835,41.681385491780965,10.660553733046541,0.22472168735638903
2172.476250002446,745.1510146365624,352.9133272217549,571.6460105783493,302.3447223928562,75.3843992979463,13.129119047003833,0.8933414336215566
3258.955086563072,691.3182906138474,794.9840543634341,943.8728514866729,134.46322226012336,61.89322771225968,8.506893037879504,0.2536498949448777
1554.804832848501,341.3481183780221,305.4753672892032,385.49919258523295,254.2838441507311,47.25947181281795,8.63195598246037,0.40118884512068526
2677.7443841466825,497.9734975047102,151.64242514115307,278.67327509566456,205.13434003754574,63.02703303609257,9.655105468361082,0.2515577889685349
1904.386301108351,393.94495745860485,539.5641621672571,545.6974328366144,159.5644241151917,59.57118842454904,9.006618320142975,0.17772329395215936
1915.2044547706234,410.08932451771415,242.12866327460506,203.2370104726239,150.6701028293318,60.78221259037637,9.221640310734335,0.2819145933857087
2871.376723661084,383.5875373138395,273.2053313467237,314.29199998096647,226.16282406396923,54.92908740343083,10.197049519072896,0.14129319158860423
1408.425744774786,669.3438820370392,1629.0175769128625,306.5903816013813,186.75838224111774,60.597248830550996,9.956522781185974,0.375980281990246
1641.1318537724142,1468.1692029440026,711.2794220458495,334.4965293766207,155.89827152897942,43.885670920405275,7.510558849197658,0.3622176623807439
2914.705549800794,659.6138868198465,600.3025055268132,449.7355949605942,87.93791924992904,54.50931686713653,9.15146073669156,0.3130770440933144
1923.0925872574528,557.1862540821031,363.6608679291512,291.2051342192952,129.31829066278158,50.482371802011755,7.4379998633948565,0.22325756926527526
4070.8257067489435,617.151360563583,403.78180012334053,533.1931191708841,129.46119661268713,62.015084008432254,7.96218450267921,0.24460946118479168
1849.6831123079726,472.06579226744253,271.0148461960409,521.063225965282,76.95210334003251,55.52352942509588,10.746196539475545,0.2832946006429183
2083.719423143985,698.1245526622469,530.0662845520285,702.3562922681089,145.0734462830649,51.725718098785705,7.453790602598374,0.258623253731973
3404.2334523521727,727.481939322925,299.35943492145765,654.816255568829,222.18659152131988,40.74740434372749,8.714023275223877,0.47837248006091226
2874.150124388049,980.0087213889389,425.3855413003312,508.21380071455343,136.41406676475532,75.54743268634132,14.51409321292117,1.8271410044383216
2823.050859417986,493.0210485113081,347.67184114745936,362.6925167475433,167.9388310064804,50.986422435281405,9.145655158468774,0.5667252452979422
4369.378471439137,802.4561721971925,863.7393795356016,1356.6786179067024,152.58266721992612,50.74997050224549,9.936582549304633,0.19978535866583025
2686.244450950464,891.110304000474,613.8145806966883,633.7220318274822,254.25721925835933,43.695844890056144,8.317872742725518,0.38904822366787456
3478.222308246186,666.4215149674976,566.4370535670438,858.7049294469758,220.53727675309065,42.206616038855636,7.015742350647433,0.2297261313826124
1725.1649548175828,455.01130100667336,489.98507862869127,1339.7209609463077,211.37562679541065,58.16981932533459,8.92157479631868,0.27318342266770707
1613.961499869947,1001.856171670127,911.1724641062965,709.6747746517527,153.09854430304668,42.136579260900994,10.123387538806726,0.2926175400321618
1407.380492265965,565.5046641136773,1055.079721461246,457.33914526002013,142.14466392989522,52.28027670360403,9.061452975242627,0.31937752733594976
2066.022060498586,376.9532888370991,611.554331438928,550.5661367359696,339.7730154770995,43.872773918825466,10.815806056265126,0.807293555408339
3634.899515431159,645.6754110578771,1065.0402033644223,977.5603504809646,190.0599440893234,44.144317394072274,8.187870958375948,0.44499909676147986
1888.3276160215464,491.34852844272933,448.3348517074866,909.4640106232397,129.35028597654232,42.722840369891685,10.144935570335619,0.2170835984528199
2399.431792699517,770.6008154912587,357.758860366867,253.8552604842778,92.18224400874469,58.68702822876744,7.342969268963469,0.21332189468061524
1622.5460278168398,459.06086734012376,183.3031026480758,194.3680263143019,110.94468398810267,43.84464977573481,8.608495153783409,0.11286594386111068
1603.8807709886569,421.73815751220013,295.5700023302294,289.730863914173,135.285668737557,50.61536419421572,7.72826908988395,0.23925196391969353
1562.693773987364,217.57829036044186,324.78683276470935,374.64191122720786,114.65045775434268,48.11117730023498,9.639990744317718,0.2540308672419568
3059.0700524943277,394.04242327290893,300.1737400621837,684.3405237348528,96.58683086642924,53.05966489419813,10.642287830325417,0.2555675822079994
1671.093195668538,319.33742735536936,312.9370202131447,231.75704280228288,89.66013272677866,43.381913075782684,9.246636226254552,0.2854817217714354
4753.878950596288,639.6749276293257,406.75280722922963,476.49616131146666,153.88907798442793,42.89043036809041,13.790412347721803,0.6084876652740254
3423.301464438876,548.6015100269108,161.41955399884492,410.5386080466813,109.15564952736828,45.60757369667173,8.123781380595469,0.30806526261931466
2888.2647882831134,368.4244744850065,249.72420150331618,729.8735199807963,169.71852416324046,49.832407581037614,8.837957433894939,0.14141487199380734
2290.8850760004525,366.2039465433911,634.6738779658651,838.6950448506326,134.74159872969463,47.999029267844925,10.080936162729957,0.3373185455911731
2904.5779537210656,721.9020687561128,541.7945534324202,1010.7313568216186,119.87367494686781,43.32946449390437,8.456186787335202,0.7131831686997616
